,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-16,21.8031689422638,-8.687299252699013,47.559271899680866,21.8031689422638,21.8031689422638,-1.9619862977046383,-1.9619862977046383,-1.9619862977046383,-1.9619862977046383,-1.9619862977046383,-1.9619862977046383,0.0,0.0,0.0,19.84118264455916
1,2020-03-17,22.402317393228067,-8.874268452749764,50.546628503636704,22.402317393228067,22.402317393228067,-0.8252909375619677,-0.8252909375619677,-0.8252909375619677,-0.8252909375619677,-0.8252909375619677,-0.8252909375619677,0.0,0.0,0.0,21.5770264556661
2,2020-03-18,23.001465844192342,-6.98367418241784,50.25387209693288,23.001465844192342,23.001465844192342,-1.179661384514479,-1.179661384514479,-1.179661384514479,-1.179661384514479,-1.179661384514479,-1.179661384514479,0.0,0.0,0.0,21.821804459677864
3,2020-03-19,23.60061429515661,-6.978977916376376,50.84918276866497,23.60061429515661,23.60061429515661,-1.2948749051192017,-1.2948749051192017,-1.2948749051192017,-1.2948749051192017,-1.2948749051192017,-1.2948749051192017,0.0,0.0,0.0,22.30573939003741
4,2020-03-20,24.199762746120886,-7.917349041211885,50.224121018381666,24.199762746120886,24.199762746120886,-2.5840838809457725,-2.5840838809457725,-2.5840838809457725,-2.5840838809457725,-2.5840838809457725,-2.5840838809457725,0.0,0.0,0.0,21.615678865175113
5,2020-03-23,25.997208099013694,-2.0563363538092703,54.011019753334615,25.997208099013694,25.997208099013694,-1.9619862977023486,-1.9619862977023486,-1.9619862977023486,-1.9619862977023486,-1.9619862977023486,-1.9619862977023486,0.0,0.0,0.0,24.035221801311344
6,2020-03-24,26.59635654997797,-3.1386213580502047,52.541748677085096,26.59635654997797,26.59635654997797,-0.8252909375553693,-0.8252909375553693,-0.8252909375553693,-0.8252909375553693,-0.8252909375553693,-0.8252909375553693,0.0,0.0,0.0,25.7710656124226
7,2020-03-25,27.19550500094224,-4.436506414618892,53.18608247941561,27.19550500094224,27.19550500094224,-1.1796613845134643,-1.1796613845134643,-1.1796613845134643,-1.1796613845134643,-1.1796613845134643,-1.1796613845134643,0.0,0.0,0.0,26.015843616428775
8,2020-03-26,27.794653451906512,-3.2819892627239797,56.93096533462208,27.794653451906512,27.794653451906512,-1.2948749051246973,-1.2948749051246973,-1.2948749051246973,-1.2948749051246973,-1.2948749051246973,-1.2948749051246973,0.0,0.0,0.0,26.499778546781815
9,2020-03-27,28.393801735826518,-3.4301601732322333,55.71770658912542,28.393801735826518,28.393801735826518,-2.584083880941396,-2.584083880941396,-2.584083880941396,-2.584083880941396,-2.584083880941396,-2.584083880941396,0.0,0.0,0.0,25.809717854885122
10,2020-03-30,30.191246587586537,0.9866259744413826,58.75580576368387,30.191246587586537,30.191246587586537,-1.9619862977000588,-1.9619862977000588,-1.9619862977000588,-1.9619862977000588,-1.9619862977000588,-1.9619862977000588,0.0,0.0,0.0,28.22926028988648
11,2020-03-31,30.790394871506543,-1.0623628480456655,59.22862603307813,30.790394871506543,30.790394871506543,-0.8252909375660566,-0.8252909375660566,-0.8252909375660566,-0.8252909375660566,-0.8252909375660566,-0.8252909375660566,0.0,0.0,0.0,29.965103933940487
12,2020-04-01,31.389543155426548,2.1162041389289348,56.36889171469416,31.389543155426548,31.389543155426548,-1.1796613845138535,-1.1796613845138535,-1.1796613845138535,-1.1796613845138535,-1.1796613845138535,-1.1796613845138535,0.0,0.0,0.0,30.209881770912695
13,2020-04-02,31.988691439346557,1.2492139411615,58.45082703055511,31.988691439346557,31.988691439346557,-1.2948749051243076,-1.2948749051243076,-1.2948749051243076,-1.2948749051243076,-1.2948749051243076,-1.2948749051243076,0.0,0.0,0.0,30.69381653422225
14,2020-04-03,32.58783972326656,1.782095947255458,59.40466970591075,32.58783972326656,32.58783972326656,-2.58408388094291,-2.58408388094291,-2.58408388094291,-2.58408388094291,-2.58408388094291,-2.58408388094291,0.0,0.0,0.0,30.003755842323653
15,2020-04-06,34.385284575026574,4.684144465644419,62.25238320686243,34.385284575026574,34.385284575026574,-1.9619862977110156,-1.9619862977110156,-1.9619862977110156,-1.9619862977110156,-1.9619862977110156,-1.9619862977110156,0.0,0.0,0.0,32.42329827731556
16,2020-04-07,34.98443285894658,4.019436333610538,62.6511576536684,34.98443285894658,34.98443285894658,-0.8252909375634608,-0.8252909375634608,-0.8252909375634608,-0.8252909375634608,-0.8252909375634608,-0.8252909375634608,0.0,0.0,0.0,34.159141921383124
17,2020-04-08,35.583581148400214,6.33141157256931,62.499851355203404,35.583581148400214,35.583581148400214,-1.1796613845136543,-1.1796613845136543,-1.1796613845136543,-1.1796613845136543,-1.1796613845136543,-1.1796613845136543,0.0,0.0,0.0,34.403919763886556
18,2020-04-09,36.18272943785384,5.860901551826097,64.52058951111165,36.18272943785384,36.18272943785384,-1.2948749051268598,-1.2948749051268598,-1.2948749051268598,-1.2948749051268598,-1.2948749051268598,-1.2948749051268598,0.0,0.0,0.0,34.887854532726976
19,2020-04-13,38.57932259566835,9.577050391015439,65.42897188109836,38.57932259566835,38.57932259566835,-1.9619862977087263,-1.9619862977087263,-1.9619862977087263,-1.9619862977087263,-1.9619862977087263,-1.9619862977087263,0.0,0.0,0.0,36.617336297959625
20,2020-04-14,39.17847088512198,10.361029313939731,65.13707164153566,39.17847088512198,39.17847088512198,-0.8252909375608644,-0.8252909375608644,-0.8252909375608644,-0.8252909375608644,-0.8252909375608644,-0.8252909375608644,0.0,0.0,0.0,38.35317994756112
21,2020-04-15,39.77761917457561,9.862800905212705,69.05869450537536,39.77761917457561,39.77761917457561,-1.1796613845140425,-1.1796613845140425,-1.1796613845140425,-1.1796613845140425,-1.1796613845140425,-1.1796613845140425,0.0,0.0,0.0,38.59795779006157
22,2020-04-16,40.37676746402924,12.073913516470684,67.67459521416517,40.37676746402924,40.37676746402924,-1.2948749051190434,-1.2948749051190434,-1.2948749051190434,-1.2948749051190434,-1.2948749051190434,-1.2948749051190434,0.0,0.0,0.0,39.0818925589102
23,2020-04-17,40.975915753482866,10.756513758409776,66.95193776186079,40.975915753482866,40.975915753482866,-2.5840838809341564,-2.5840838809341564,-2.5840838809341564,-2.5840838809341564,-2.5840838809341564,-2.5840838809341564,0.0,0.0,0.0,38.39183187254871
24,2020-04-20,42.77336062184376,14.383702519611155,67.29384769478318,42.77336062184376,42.77336062184376,-1.9619862977130602,-1.9619862977130602,-1.9619862977130602,-1.9619862977130602,-1.9619862977130602,-1.9619862977130602,0.0,0.0,0.0,40.811374324130696
25,2020-04-21,43.37250893840442,15.044853912918562,71.86077284493999,43.37250893840442,43.37250893840442,-0.8252909375675495,-0.8252909375675495,-0.8252909375675495,-0.8252909375675495,-0.8252909375675495,-0.8252909375675495,0.0,0.0,0.0,42.54721800083687
26,2020-04-22,43.97165725496508,15.59895758854778,71.75249224846894,43.97165725496508,43.97165725496508,-1.1796613845138433,-1.1796613845138433,-1.1796613845138433,-1.1796613845138433,-1.1796613845138433,-1.1796613845138433,0.0,0.0,0.0,42.79199587045124
27,2020-04-23,44.57080557152574,16.026400715528666,73.93362691774139,44.57080557152574,44.57080557152574,-1.294874905121596,-1.294874905121596,-1.294874905121596,-1.294874905121596,-1.294874905121596,-1.294874905121596,0.0,0.0,0.0,43.27593066640414
28,2020-04-24,45.1699538880864,13.19470859139758,70.34860183973795,45.1699538880864,45.1699538880864,-2.5840838809356703,-2.5840838809356703,-2.5840838809356703,-2.5840838809356703,-2.5840838809356703,-2.5840838809356703,0.0,0.0,0.0,42.585870007150724
29,2020-04-27,46.967398837768386,14.777446002638339,73.15448691135524,46.967398837768386,46.967398837768386,-1.9619862977018299,-1.9619862977018299,-1.9619862977018299,-1.9619862977018299,-1.9619862977018299,-1.9619862977018299,0.0,0.0,0.0,45.00541254006656
30,2020-04-28,47.56654715432904,18.08915664325225,73.82970989515057,47.56654715432904,47.56654715432904,-0.8252909375649531,-0.8252909375649531,-0.8252909375649531,-0.8252909375649531,-0.8252909375649531,-0.8252909375649531,0.0,0.0,0.0,46.741256216764086
31,2020-04-29,48.16569547088971,17.598077612886147,73.93287506428895,48.16569547088971,48.16569547088971,-1.1796613845148192,-1.1796613845148192,-1.1796613845148192,-1.1796613845148192,-1.1796613845148192,-1.1796613845148192,0.0,0.0,0.0,46.98603408637489
32,2020-04-30,48.76484378745036,18.901554653829244,76.49002681134749,48.76484378745036,48.76484378745036,-1.294874905121206,-1.294874905121206,-1.294874905121206,-1.294874905121206,-1.294874905121206,-1.294874905121206,0.0,0.0,0.0,47.469968882329155
33,2020-05-01,49.36399334317469,19.06262414624862,76.44497199895974,49.36399334317469,49.36399334317469,-2.584083880942122,-2.584083880942122,-2.584083880942122,-2.584083880942122,-2.584083880942122,-2.584083880942122,0.0,0.0,0.0,46.77990946223257
34,2020-05-04,51.16144201034767,21.726847942707067,77.4558712462655,51.16144201034767,51.16144201034767,-1.9619862977061635,-1.9619862977061635,-1.9619862977061635,-1.9619862977061635,-1.9619862977061635,-1.9619862977061635,0.0,0.0,0.0,49.19945571264151
35,2020-05-05,51.760591566072,21.552017270606356,79.43096123821284,51.760591566072,51.760591566072,-0.825290937562357,-0.825290937562357,-0.825290937562357,-0.825290937562357,-0.825290937562357,-0.825290937562357,0.0,0.0,0.0,50.935300628509644
36,2020-05-06,52.359741121796326,22.9011126475267,78.21847075102949,52.359741121796326,52.359741121796326,-1.1796613845146202,-1.1796613845146202,-1.1796613845146202,-1.1796613845146202,-1.1796613845146202,-1.1796613845146202,0.0,0.0,0.0,51.18007973728171
37,2020-05-07,52.95889067752066,23.025024017086594,79.24615206416256,52.95889067752066,52.95889067752066,-1.2948749051237582,-1.2948749051237582,-1.2948749051237582,-1.2948749051237582,-1.2948749051237582,-1.2948749051237582,0.0,0.0,0.0,51.6640157723969
38,2020-05-08,53.55804023324498,23.701675213523195,81.74774205036881,53.55804023324498,53.55804023324498,-2.5840838809436355,-2.5840838809436355,-2.5840838809436355,-2.5840838809436355,-2.5840838809436355,-2.5840838809436355,0.0,0.0,0.0,50.97395635230134
39,2020-05-11,55.355488900417946,26.01983768927605,82.15660162964676,55.355488900417946,55.355488900417946,-1.9619862977038744,-1.9619862977038744,-1.9619862977038744,-1.9619862977038744,-1.9619862977038744,-1.9619862977038744,0.0,0.0,0.0,53.39350260271407
40,2020-05-12,55.954638456142284,26.49179553590221,84.28911246434318,55.954638456142284,55.954638456142284,-0.8252909375637628,-0.8252909375637628,-0.8252909375637628,-0.8252909375637628,-0.8252909375637628,-0.8252909375637628,0.0,0.0,0.0,55.12934751857852
41,2020-05-13,56.553792850955325,24.161549993932482,82.51859484760266,56.553792850955325,56.553792850955325,-1.179661384513606,-1.179661384513606,-1.179661384513606,-1.179661384513606,-1.179661384513606,-1.179661384513606,0.0,0.0,0.0,55.37413146644172
42,2020-05-14,57.152947245768374,27.601043171372666,84.90613964286378,57.152947245768374,57.152947245768374,-1.2948749051233683,-1.2948749051233683,-1.2948749051233683,-1.2948749051233683,-1.2948749051233683,-1.2948749051233683,0.0,0.0,0.0,55.85807234064501
43,2020-05-15,57.75210164058142,28.91753207095513,83.21875191246049,57.75210164058142,57.75210164058142,-2.58408388093926,-2.58408388093926,-2.58408388093926,-2.58408388093926,-2.58408388093926,-2.58408388093926,0.0,0.0,0.0,55.16801775964216
44,2020-05-18,59.54956482502057,28.340867850004386,85.8226697049899,59.54956482502057,59.54956482502057,-1.9619862976992668,-1.9619862976992668,-1.9619862976992668,-1.9619862976992668,-1.9619862976992668,-1.9619862976992668,0.0,0.0,0.0,57.5875785273213
